#1_usercol	2_usercol	3_usercol	4_usercol	5_pct_at	6_pct_gc	7_num_A	8_num_C	9_num_G	10_num_T	11_num_N	12_num_oth	13_seq_len
1	1527530	1538814	-1	0.395959	0.604041	2347	3450	3366	2121	0	0	11284
1	7060969	7109531	1	0.531959	0.468041	12713	11479	11250	13120	0	0	48562
1	7108101	7208402	-1	0.531759	0.468241	27431	23950	23015	25905	0	0	100301
1	7288170	7323644	1	0.529627	0.470373	9271	8512	8174	9517	0	0	35474
1	21302994	21723922	NA	0.589631	0.410369	127424	87115	85621	120768	0	0	420928
1	71173509	71299820	1	0.634664	0.365336	36932	22444	23702	43233	0	0	126311
1	72635970	72643342	-1	0.586815	0.413185	2059	1570	1476	2267	0	0	7372
1	137691962	139624607	NA	0.576097	0.423903	557075	407842	411412	556316	0	0	1932645
1	141886132	142501982	NA	0.613331	0.386669	198172	118376	119754	179548	0	0	615850
1	217628320	218114862	1	0.620466	0.379534	141727	90123	94536	160156	0	0	486542
1	221617370	221636301	NA	0.558977	0.441023	5177	3904	4445	5405	0	0	18931
1	233074855	233084301	-1	0.547427	0.452573	2509	1884	2391	2662	0	0	9446
2	371133	376379	-1	0.328631	0.671369	833	1722	1800	891	0	0	5246
2	1381838	2059694	NA	0.383831	0.616169	125159	208685	208989	135023	0	0	677856
2	3200477	3357630	-1	0.429480	0.570520	35068	45010	44649	32426	0	0	157153
2	16563717	18449167	NA	0.497776	0.502224	476758	476464	470455	461773	0	0	1885450
2	27853991	27856827	NA	0.582863	0.417137	883	635	548	770	0	0	2836
2	28410164	28411296	-1	0.466431	0.533569	260	336	268	268	0	0	1132
2	28410450	28456019	1	0.529263	0.470737	11439	10529	10922	12679	0	0	45569
2	39262275	39705809	-1	0.524990	0.475010	122350	107393	103290	110501	0	0	443534
2	48984541	49028888	1	0.622567	0.377433	11662	8339	8399	15947	0	0	44347
2	60356473	60369956	1	0.380257	0.619743	2614	4051	4305	2513	0	0	13483
2	65592911	65870456	1	0.524146	0.475854	72209	65479	66592	73265	0	0	277545
2	66813497	69151208	NA	0.568951	0.431049	677741	502908	504759	652303	0	0	2337711
2	76048088	76083558	1	0.471920	0.528080	8056	9690	9041	8683	0	0	35470
2	79411952	79455227	-1	0.591127	0.408873	13498	8977	8717	12083	0	0	43275
2	102333820	102491856	1	0.569326	0.430674	42702	33313	34749	47272	0	0	158036
2	109044947	109060726	-1	0.650485	0.349515	5179	2832	2683	5085	0	0	15779
2	138238844	138239936	-1	0.454212	0.545788	262	280	316	234	0	0	1092
3	38762113	38783056	-1	0.431123	0.568877	4695	6013	5901	4334	0	0	20943
3	38788978	38796514	1	0.543524	0.456476	1964	1689	1751	2132	0	0	7536
3	63586499	63590405	1	0.446749	0.553251	868	1181	980	877	0	0	3906
3	94062012	94067606	-1	0.507687	0.492313	1399	1354	1400	1441	0	0	5594
3	100555833	100600909	1	0.607840	0.392160	13406	8608	9069	13993	0	0	45076
3	131178805	131239807	1	0.466395	0.533605	15962	16601	15950	12489	0	0	61002
4	982380	988635	1	0.307434	0.692566	893	2135	2197	1030	0	0	6255
4	1479879	1483354	-1	0.324892	0.675108	559	1092	1254	570	0	0	3475
4	2530649	2579117	-1	0.419658	0.580342	11241	14384	13744	9099	0	0	48468
4	3069742	3220098	1	0.472193	0.527807	30633	37861	41498	40364	0	0	150356
4	3296433	3299001	1	0.391745	0.608255	411	759	803	595	0	0	2568
4	3560851	3641315	1	0.445988	0.554012	15595	21729	22849	20291	0	0	80464
4	7015774	7355351	1	0.503270	0.496730	78242	81958	86720	92657	0	0	339577
4	7083875	7088352	-1	0.451865	0.548135	954	1180	1274	1069	0	0	4477
4	57872115	57898303	-1	0.646136	0.353864	8305	4817	4450	8616	0	0	26188
5	6890002	6900026	1	0.558659	0.441341	2878	2021	2403	2722	0	0	10024
5	8597053	8702228	-1	0.422734	0.577266	23885	31702	29012	20576	0	0	105175
5	29450029	29544913	-1	0.604254	0.395746	31423	19142	18408	25911	0	0	94884
5	66043228	66068484	-1	0.538011	0.461989	7435	5835	5833	6153	0	0	25256
5	69270053	69448130	1	0.454483	0.545517	40009	49350	47794	40924	0	0	178077
6	9906440	9916428	-1	0.547056	0.452944	2651	2220	2304	2813	0	0	9988
6	13186422	13230598	1	0.502965	0.497035	9792	10775	11182	12427	0	0	44176
6	18312936	18336962	-1	0.573420	0.426580	7243	5294	4955	6534	0	0	24026
6	36341806	36365773	1	0.583761	0.416239	6485	4603	5373	7506	0	0	23967
6	49244802	49277917	1	0.462087	0.537913	7488	8830	8983	7814	0	0	33115
6	56594917	56612353	-1	0.566644	0.433356	4887	3895	3661	4993	0	0	17436
6	60749234	61303900	NA	0.534792	0.465208	149099	130605	127430	147532	0	0	554666
6	67454277	67463399	1	0.388402	0.611598	1657	2741	2838	1886	0	0	9122
6	68549651	68560687	-1	0.528996	0.471004	2985	2541	2657	2853	0	0	11036
6	92035834	92215149	1	0.604004	0.395996	49706	35233	35775	58601	0	0	179315
6	144575365	144578816	1	0.483048	0.516952	861	857	927	806	0	0	3451
6	145212980	145280893	-1	0.565473	0.434527	19178	14850	14660	19225	0	0	67913
6	152320412	152579335	1	0.596278	0.403722	72598	51806	52727	81792	0	0	258923
6	157749921	157813999	-1	0.463388	0.536612	16198	17512	16873	13495	0	0	64078
6	166588788	166589903	1	0.516592	0.483408	273	288	251	303	0	0	1115
7	2308088	2310080	1	0.361446	0.638554	415	615	657	305	0	0	1992
7	10358211	10387002	1	0.536973	0.463027	7779	6376	6955	7681	0	0	28791
7	13945101	14125654	1	0.591710	0.408290	49476	35311	38407	57359	0	0	180553
7	23773914	23776346	-1	0.404605	0.595395	483	764	684	501	0	0	2432
7	33205704	33269272	-1	0.467987	0.532013	15466	17382	16437	14283	0	0	63568
7	35286577	35321931	-1	0.496549	0.503451	10005	9072	8727	7550	0	0	35354
7	38097171	38117855	-1	0.437536	0.562464	4774	5840	5794	4276	0	0	20684
7	48118209	48247288	-1	0.484114	0.515886	30913	32670	33920	31576	0	0	129079
7	57927624	57936224	NA	0.450116	0.549884	1956	2419	2310	1915	0	0	8600
7	75187197	75198638	-1	0.458876	0.541124	2606	2995	3196	2644	0	0	11441
7	80641124	81035342	-1	0.566329	0.433671	114706	86262	84699	108551	0	0	394218
7	86268052	86289228	1	0.505289	0.494711	4992	4969	5507	5708	0	0	21176
7	96589339	96594634	NA	0.483097	0.516903	1194	1308	1429	1364	0	0	5295
7	121564855	121732272	NA	0.438050	0.561950	35822	46459	47621	37515	0	0	167417
8	79378	110369	1	0.447452	0.552548	6459	8366	8758	7408	0	0	30991
8	1582173	1619038	1	0.362729	0.637271	6245	11314	12179	7127	0	0	36865
8	2579442	2679717	NA	0.433827	0.566173	22311	29035	27738	21191	0	0	100275
8	5694349	5892200	-1	0.504875	0.495125	51680	48565	49396	48210	0	0	197851
8	75336106	75347522	1	0.502453	0.497547	2890	2968	2712	2846	0	0	11416
8	125819941	126452187	-1	0.635567	0.364433	204341	116152	114259	197494	0	0	632246
8	130363566	130365464	1	0.387250	0.612750	428	526	637	307	0	0	1898
9	1935953	1951961	1	0.526362	0.473638	4225	3743	3839	4201	0	0	16008
9	2578166	2601088	-1	0.543670	0.456330	6378	5554	4906	6084	0	0	22922
9	6444891	6449192	1	0.403395	0.596605	810	1307	1259	925	0	0	4301
9	11826805	11973555	-1	0.596729	0.403271	47002	31119	28061	40568	0	0	146750
9	26223610	26246830	-1	0.496856	0.503144	5979	5914	5769	5558	0	0	23220
9	38132467	38207027	1	0.607792	0.392208	21632	14689	14554	23685	0	0	74560
9	51917872	51932595	1	0.604836	0.395164	4660	3081	2737	4245	0	0	14723
9	58699168	58967505	1	0.534999	0.465001	69718	62168	62609	73842	0	0	268337
9	59037716	59272936	-1	0.557512	0.442488	66422	52363	51719	64716	0	0	235220
9	73277785	73404466	-1	0.627166	0.372834	39932	23113	24118	39518	0	0	126681
9	73684237	73690134	-1	0.595387	0.404613	1827	1186	1200	1684	0	0	5897
9	74402717	74474960	-1	0.632366	0.367634	23741	13804	12755	21943	0	0	72243
9	74473091	74486980	1	0.548492	0.451508	3705	3246	3025	3913	0	0	13889
9	75246952	75261137	-1	0.641382	0.358618	4531	2577	2510	4567	0	0	14185
9	81076091	81519344	-1	0.644126	0.355873	144913	81313	76429	140598	0	0	443253
9	82101674	82363745	1	0.621778	0.378222	78151	48567	50554	84799	0	0	262071
9	90958081	91271781	-1	0.579158	0.420842	95191	67513	64505	86491	0	0	313700
9	122934861	123314318	1	0.526202	0.473798	93649	86972	92814	106022	0	0	379457
9	131738039	131768800	NA	0.592894	0.407106	8648	6402	6121	9590	0	0	30761
9	136580048	136743139	-1	0.444145	0.555855	40467	46402	44253	31969	0	0	163091
10	42986383	43002760	1	0.558344	0.441656	4221	3581	3652	4923	0	0	16377
10	46131741	46303652	1	0.593034	0.406966	50203	35465	34497	51746	0	0	171911
10	59681505	60078310	-1	0.554204	0.445796	110700	87673	89221	109211	0	0	396805
10	60010031	60062242	1	0.506349	0.493651	12956	12644	13130	13481	0	0	52211
11	8857175	8873221	-1	0.606382	0.393618	5064	3302	3014	4666	0	0	16046
11	16971554	16989394	1	0.558800	0.441200	4587	3970	3901	5382	0	0	17840
11	19186760	19323150	NA	0.622010	0.377990	45813	26941	24613	39023	0	0	136390
11	42033851	42420734	-1	0.661360	0.338640	130826	65956	65058	125043	0	0	386883
11	70252397	70423164	-1	0.599835	0.400165	53238	34687	33648	49194	0	0	170767
12	34768045	34786175	-1	0.446828	0.553172	4200	5111	4918	3901	0	0	18130
12	51885880	51901206	1	0.492366	0.507634	3995	3920	3860	3551	0	0	15326
13	8236335	8570112	-1	0.606261	0.393739	103798	67052	64369	98558	0	0	333777
13	13933711	14044066	-1	0.623397	0.376603	37603	21962	19598	31192	0	0	110355
13	31840300	31905384	-1	0.544481	0.455519	19055	15219	14428	16382	0	0	65084
13	71503938	71540592	1	0.470999	0.529001	9068	9540	9850	8196	0	0	36654
13	71762043	71887835	-1	0.530916	0.469084	35231	30019	28988	31554	0	0	125792
13	120983220	121071418	-1	0.589787	0.410213	27303	18428	17752	24715	0	0	88198
13	129240084	129627849	-1	0.620559	0.379441	127543	75278	71856	113088	0	0	387765
13	133093863	133122065	1	0.453266	0.546734	6304	7890	7529	6479	0	0	28202
13	199616318	199622407	1	0.536706	0.463294	1621	1542	1279	1647	0	0	6089
14	7404818	7437418	1	0.502301	0.497699	7385	7936	8289	8990	0	0	32600
14	11064211	11197166	1	0.512858	0.487142	33583	32661	32107	34604	0	0	132955
14	51403852	51441058	-1	0.387384	0.612616	7724	11557	11236	6689	0	0	37206
14	66640849	66968077	-1	0.631905	0.368095	113031	62124	58327	93746	0	0	327228
14	73052654	73075653	-1	0.486152	0.513848	5902	6081	5737	5279	0	0	22999
14	114321622	114328485	-1	0.590995	0.409005	2161	1453	1354	1895	0	0	6863
14	124593325	124627360	1	0.491641	0.508359	8000	8351	8951	8733	0	0	34035
14	129560034	129668756	1	0.596402	0.403598	30270	21024	22856	34572	0	0	108722
14	133245329	133396378	-1	0.525055	0.474945	42267	37015	34725	37042	0	0	151049
15	33172120	33264155	1	0.517303	0.482697	23575	22570	21855	24035	0	0	92035
15	47012063	47038190	1	0.579898	0.420102	7477	5336	5640	7674	0	0	26127
15	99724837	99965299	-1	0.631834	0.368166	81292	44664	43866	70640	0	0	240462
15	106295934	106378570	-1	0.614030	0.385970	28327	15788	16107	22414	0	0	82636
15	109467078	109522194	-1	0.570016	0.429984	16289	11744	11955	15128	0	0	55116
15	109492913	109566402	NA	0.554450	0.445550	20290	16431	16312	20456	0	0	73489
15	109562345	109589700	1	0.622080	0.377920	8242	4850	5488	8775	0	0	27355
15	125731387	125740107	1	0.586239	0.413761	2329	1773	1835	2783	0	0	8720
15	129308627	129462523	-1	0.607436	0.392564	46073	29751	30663	47409	0	0	153896
16	79887790	79936556	-1	0.471435	0.528565	11895	12863	12913	11095	0	0	48766
17	483635	485686	-1	0.386153	0.613847	376	648	611	416	0	0	2051
17	5779621	5801273	-1	0.622160	0.377840	6473	4036	4145	6998	0	0	21652
17	30470416	30475270	NA	0.417800	0.582200	1091	1476	1350	937	0	0	4854
17	35269928	35270386	NA	0.436681	0.563319	97	131	127	103	0	0	458
17	37165995	37170763	1	0.395344	0.604656	971	1402	1481	914	0	0	4768
17	40603977	40634613	-1	0.519193	0.480807	8537	7865	6865	7369	0	0	30636
17	40626090	40629518	1	0.450700	0.549300	902	969	914	643	0	0	3428
17	43848368	43985240	-1	0.560867	0.439133	40996	30952	29153	35771	0	0	136872
17	46134567	46176967	1	0.475755	0.524245	9828	10851	11377	10344	0	0	42400
17	46187264	46208787	1	0.482600	0.517400	5067	5561	5575	5320	0	0	21523
17	46707885	46737784	1	0.481688	0.518312	7272	7674	7823	7130	0	0	29899
17	55108879	55131554	-1	0.528820	0.471180	6053	5464	5220	5938	0	0	22675
17	58970316	59055340	NA	0.446933	0.553067	18891	24246	22778	19109	0	0	85024
18	5474410	5746613	1	0.472078	0.527922	61339	70699	73003	67162	0	0	272203
18	14164327	14248877	-1	0.625807	0.374193	27135	15630	16008	25777	0	0	84550
18	18146124	18724490	NA	0.581715	0.418285	166543	124938	116984	169901	0	0	578366
AEMK02000328.1	129519	163166	-1	0.506999	0.493001	9880	8712	7876	7179	0	0	33647
AEMK02000452.1	58562	59634	1	0.403918	0.596082	217	337	302	216	0	0	1072
AEMK02000602.1	50065	362670	NA	0.631410	0.368590	98794	58157	57066	98588	0	0	312605
AEMK02000682.1	557301	613584	1	0.361957	0.638043	9380	17944	17967	10992	0	0	56283
X	41235165	41400082	-1	0.545074	0.454926	48301	38436	36589	41591	0	0	164917
